##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): July 18, 2019, 11:54 p.m.
## Download Date (Y/M/D): 2019/07/22
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;etvlong&quot;:true,&quot;campaign&quot;:[&quot;5&quot;,&quot;4&quot;,&quot;1&quot;,&quot;0&quot;,&quot;3&quot;,&quot;2&quot;,&quot;-2&quot;],&quot;morph&quot;:{&quot;max&quot;:0.8,&quot;min&quot;:0.0},&quot;kics&quot;:[],&quot;cols&quot;:[&quot;sdepth&quot;,&quot;scdata&quot;,&quot;morph&quot;,&quot;pdepth&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;keff&quot;,&quot;p&quot;,&quot;figs&quot;,&quot;perr&quot;],&quot;etvshort&quot;:true,&quot;p&quot;:{&quot;max&quot;:50.0,&quot;min&quot;:0.0},&quot;incat1&quot;:true,&quot;keff&quot;:{&quot;min&quot;:0.0},&quot;kois&quot;:[]}
##
#KIC,period,period_err,pdepth,sdepth,morph,Teff,SC,
9091810,0.4797214,0.0000004,0.4817,0.4165,0.70,4807.0000,True,
4466691,0.4826514,0.0000066,0.1433,0.0940,0.78,6512.0000,False,
6057829,0.4834268,0.0000004,0.1080,0.0687,0.75,5444.0000,False,
4843592,0.4835365,0.0000004,0.0011,-1.0000,0.67,5499.0000,False,
10796477,0.4849660,0.0000004,0.3738,0.2742,0.74,6213.0000,False,
7601767,0.4867339,0.0000139,0.2148,0.1957,0.80,6567.0000,False,
6836140,0.4877210,0.0000004,0.2258,0.1688,0.73,5037.0000,True,
9592145,0.4888674,0.0000004,0.2377,0.0863,0.65,6658.0000,False,
7516345,0.4918701,0.0000004,0.2779,0.1678,0.75,6885.0000,False,
3953981,0.4920172,0.0000004,0.0831,0.0634,0.75,4925.0000,False,
9957351,0.4955521,0.0000020,0.2924,0.1099,0.60,4610.0000,False,
5282464,0.4963991,0.0000004,0.3792,0.2012,0.73,7472.0000,False,
11395645,0.4969091,0.0000035,0.3616,0.2245,0.75,6396.0000,False,
4947528,0.4969885,0.0000004,0.1760,0.1232,0.75,6828.0000,False,
2972514,0.5034853,0.0000071,0.4708,0.4118,0.74,6346.0000,False,
9027841,0.5040004,0.0000004,0.0009,-1.0000,0.48,4760.0000,False,
4069063,0.5042961,0.0000004,0.0060,0.0041,0.57,5905.0000,False,
9813678,0.5050786,0.0000036,0.0268,0.0204,0.56,5190.0000,False,
9642018,0.5051110,0.0000004,0.0002,-1.0000,0.52,5106.0000,False,
10920314,0.5051686,0.0000004,0.2732,0.1047,0.64,6993.0000,True,
5128972,0.5053236,0.0000004,0.1209,0.0764,0.75,5776.0000,False,
9639265,0.5063531,0.0000004,0.2003,0.2151,0.63,5004.0000,False,
5201619,0.5072760,0.0000004,0.3927,0.2763,0.74,6498.0000,False,
5088735,0.5075008,0.0000082,0.0033,-1.0000,0.57,6016.0000,False,
6353203,0.5085044,0.0000004,0.0227,0.0185,0.64,6102.0000,False,
4349483,0.5091406,0.0000004,0.1028,0.0595,0.71,4472.0000,False,
9075704,0.5131523,0.0000009,0.1441,0.0674,0.68,7556.0000,False,
3448245,0.5134900,0.0000004,0.3362,0.1705,0.69,6573.0000,False,
8257903,0.5150650,0.0000004,0.4640,0.4351,0.77,5930.0000,False,
9237149,0.5263441,0.0000004,0.0201,0.0070,0.64,5809.0000,False,
11560447,0.5276790,0.0000004,0.2603,-1.0000,0.59,4969.0000,True,
6791604,0.5288055,0.0000004,0.4221,0.1860,0.70,7346.0000,False,
11154110,0.5296642,0.0000004,0.2917,0.1702,0.74,6938.0000,False,
6153219,0.5303000,0.0000013,0.1409,0.0557,0.62,6603.0000,False,
12109575,0.5316547,0.0000004,0.0965,0.0709,0.64,4350.0000,False,
6044543,0.5320860,0.0000004,0.3200,0.1569,0.67,7240.0000,False,
11180361,0.5330609,0.0000004,0.0016,-1.0000,0.57,8330.0000,True,
10586874,0.5354866,0.0000020,0.4262,0.4010,0.77,6640.0000,False,
5358200,0.5359481,0.0000077,0.4341,0.4210,0.79,7034.0000,False,
8074045,0.5363932,0.0000004,0.3029,0.0914,0.62,6754.0000,True,
9541127,0.5366512,0.0000004,0.3721,0.1579,0.68,6821.0000,True,
6042031,0.5371037,0.0000004,0.0001,-1.0000,0.59,5221.0000,False,
8397675,0.5532589,0.0000004,0.0011,-1.0000,0.51,5462.0000,False,
9307423,0.5586161,0.0000006,0.4965,0.4710,0.73,4597.0000,False,
6213131,0.5614165,0.0000006,0.2113,0.0906,0.64,6328.0000,False,
4660997,0.5625604,0.0000004,0.5083,0.2527,0.62,5507.0000,True,
7886329,0.5674939,0.0000005,0.0077,0.0034,0.53,6079.0000,False,
5956776,0.5691150,0.0000010,0.3392,0.0864,0.61,6946.0000,False,
7431703,0.5725258,0.0000005,0.2794,0.0934,0.64,7279.0000,True,
8112324,0.5759253,0.0000005,0.1556,-1.0000,0.59,5257.0000,False,
8616873,0.5760788,0.0000005,0.0098,-1.0000,0.54,5486.0000,False,
12157987,0.5778444,0.0000005,0.2057,0.0931,0.66,7722.0000,True,
7938870,0.5807261,0.0000005,0.3549,0.0791,0.62,6651.0000,True,
9644680,0.5859408,0.0000005,0.2801,0.1318,0.68,6985.0000,False,
9142964,0.5892528,0.0000005,0.0995,0.0504,0.73,6663.0000,False,
11404698,0.5901921,0.0000005,0.2211,0.1015,0.58,4264.0000,False,
5878081,0.5911339,0.0000089,0.2237,0.1135,0.72,7695.0000,False,
9084778,0.5922444,0.0000005,0.0037,-1.0000,0.50,4787.0000,True,
9356753,0.5926789,0.0000005,0.3277,0.2395,0.76,6021.0000,False,
3954227,0.5942760,0.0000006,0.1815,-1.0000,0.56,4595.0000,False,
12170648,0.5993860,0.0000005,0.0003,-1.0000,0.52,5000.0000,False,
5792093,0.6005881,0.0000005,0.0401,0.0185,0.71,6312.0000,False,
5887316,0.6030807,0.0000005,0.0017,-1.0000,0.55,6216.0000,False,
8949316,0.6043566,0.0000288,0.0416,0.0318,0.51,3701.0000,False,
10216186,0.6059390,0.0000005,0.3268,0.0903,0.64,6655.0000,False,
5018787,0.6071918,0.0000005,0.0162,0.0061,0.51,5215.0000,False,
9514070,0.6072562,0.0000258,0.1686,0.0569,0.64,6589.0000,False,
8554005,0.6083407,0.0000005,0.3861,0.3631,0.76,7304.0000,False,
7769072,0.6088629,0.0000005,0.0019,0.0011,0.52,4858.0000,False,
12055517,0.6097519,0.0000005,0.1579,0.1177,0.77,4708.0000,False,
9706078,0.6135606,0.0000005,0.0014,-1.0000,0.60,5692.0000,False,
7818448,0.6189517,0.0000005,0.0982,0.0977,0.66,6222.0000,False,
7584826,0.6223090,0.0000005,0.2620,0.1112,0.62,5599.0000,False,
12023089,0.6234413,0.0000007,0.0219,0.0142,0.52,5115.0000,False,
7378178,0.6242687,0.0000007,0.0885,0.0750,0.71,5612.0000,False,
8971432,0.6243873,0.0000005,0.0382,-1.0000,0.56,5057.0000,False,
7038831,0.6272909,0.0000005,0.0009,-1.0000,0.63,6266.0000,False,
10351767,0.6350697,0.0000005,0.0349,0.0223,0.58,6113.0000,True,
